y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
31.90888889,22.49601125,14.99043293,35.77086667,19.64416667,25.53505556,1.312244444,175.8044444,148.4355556,126.2255556,126.3333333,450.1855556,40.53444444,94.10153358,3.642579731,85.54283808,13.97768145,3.397307545,94.4,3.6,85,11.39240506,3.797468354
33.14363636,22.23959294,14.81956613,33.19638182,16.97094545,28.53545455,3.013427273,181.8472727,152.8572727,124.3163636,125.8181818,448.9463636,40.48090909,95.07820576,4.028052058,85.54582816,12.54468534,2.707740436,94.8,3.8,84.4,11.39240506,3.797468354
32.00363636,23.99206406,15.98734207,35.06224545,18.84182727,27.07175455,1.445909091,173.2618182,144.7809091,121.6090909,125.8181818,460.65,41.43636364,94.93054533,3.588191575,85.8394906,12.54146561,2.206681645,94.8,3.4,84.8,13.42512909,2.065404475
30.948,23.923586,15.94171106,36.69063,18.28721,25.76817,1.42428,173.947,151.234,121.087,128.4,436.613,38.236,94.29682729,3.626202291,85.67904105,13.14704189,4.176422122,93.7,3.5,84.9,11.70483461,3.562340967
32.44166667,24.42843715,16.27812346,40.11864167,17.07573333,24.01770833,1.441883333,181.1675,147.7608333,123.6716667,127.9166667,464.2725,39.76083333,94.58460029,3.78440282,85.06785089,11.38117596,2.229356236,93.7,3.7,84,10.17274472,1.919385797
32.05285714,24.54768006,16.35758212,40.25932857,17.35105714,23.68875714,1.390128571,168.7857143,147.7057143,119.2142857,122.2857143,440.6771429,39.65571429,94.16793836,3.805092103,84.89499349,11.57141745,2.437867674,93.7,3.6,84.2,14.18181818,3.636363636
38.75666667,24.07869852,16.04507177,37.87386667,18.22876667,25.29613333,1.4096,198.7466667,144.05,137.635,122.8333333,535.5283333,46.12166667,94.23717733,3.744340622,85.17311906,10.20067359,2.246094712,93.7,3.7,84.1,14.18181818,3.636363636
32.67583333,22.50668972,14.99754862,37.19066667,18.298725,25.52399167,1.408316667,182.6308333,150.7291667,125.0725,127.6666667,458.5883333,40.66,94.75038114,4.075478879,85.34667016,10.85100593,2.390991204,94,3.8,84.2,11.32075472,3.144654088
34.01222222,18.28256017,12.18275937,40.04097778,18.04068889,22.84341111,1.270722222,185.17,152.2255556,131.5177778,125.1111111,464.7655556,41.67888889,94.32785071,3.665955962,85.42251587,13.40854571,2.761516164,94,3.4,84.3,16.56804734,5.917159763
32.453,20.15871577,13.43295366,36.98801,18.33844,26.30648,1.4408,181.406,151.652,130.181,127.1,451.087,40.909,94.21299043,4.417077253,85.25652871,20.1331205,6.944018146,94,3.9,84.1,16.56804734,5.917159763
32.64909091,25.76263649,17.16718,37.12021818,17.86085455,26.12118182,1.477990909,178.9354545,149.1336364,121.3872727,126.4545455,453.35,40.23545455,94.56771062,3.944634668,85.15675996,15.711328,4.045278856,94.2,3.9,84.2,11.76470588,2.434077079
31.36090909,26.64350471,17.75415498,36.16632727,18.26971818,26.26856364,1.453327273,174.8645455,143.9945455,121.0618182,126,458.9163636,42.1,94.9149684,3.7549313,85.3917948,14.67230074,3.490085398,94.2,3.5,84.2,14.66346154,5.288461538
32.164,23.44444762,15.6224326,35.95533,18.09422,26.67059,1.50596,178.875,151.167,130.878,127.2,449.859,40.011,94.59023897,3.918731421,85.32427051,19.16639745,5.572771898,93.8,3.6,83.9,14.41860465,4.651162791
33.55818182,20.12863247,13.41290736,41.54510909,16.35799091,24.13039091,1.477536364,179.77,148.9536364,122.6290909,122.2727273,454.4981818,41.25272727,94.72138972,3.773266237,85.86668826,14.25145651,2.908170079,93.4,3.4,84.1,11.72291297,1.953818828
